"UNIQ_ID","NAME","Country","Virus","CASE_TYPE","DATA_TYPE","LAT","LONG","SPR_ORDER","SOURCE_1","SOURCE_2","SOURCE_3","STR_DAY","STR_MNTH","STR_YEAR","END_DAY","END_MNTH","END_YEAR","REP_CASE","REP_DEATH","OB_ID","OB_STR_DAY","OB_STR_MNTH","OB_STR_YEAR","OB_END_DAY","OB_END_MNTH","OB_END_YEAR","OB_CASE","OB_DEATH"
180,"Mbandza forest near village (Mbomo district, Cuvette Ouest)","Congo","Ebola Zaire","index","polygon",0.56015,14.65732,1,NA,NA,NA,11,10,2003,NA,NA,NA,2,2,"13",11,10,2003,2,12,2003,35,29
183,"Forest 40km South of Yambio town","South Sudan","Ebola Sudan","index","polygon",4.43149,28.7054,1,NA,NA,NA,15,4,2004,NA,NA,NA,1,NA,"14",15,4,2004,26,6,2004,17,7
185,"Yambio county","South Sudan","Ebola Sudan","secondary","polygon",4.6282,28.45036,3,184,NA,NA,NA,4,2004,NA,NA,NA,16,NA,"14",15,4,2004,26,6,2004,17,7
186,"Odzala National Park (Etoumbi)","Congo","Ebola Zaire","index","polygon",1.12508,14.9158,1,NA,NA,NA,18,4,2005,NA,NA,NA,2,2,"15",18,4,2005,18,5,2005,12,10
192,"From Ndongo 2 to Kampungu","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-5.19486,21.46034,4,191,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,"16",NA,5,2007,NA,11,2007,264,186
193,"Luebo health zone","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-5.63674,21.37481,5,192,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,"16",NA,5,2007,NA,11,2007,264,186
194,"Mweka health zone","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-4.51499,21.62685,5,192,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,"16",NA,5,2007,NA,11,2007,264,186
197,"Kasitu subcountry","Uganda","Ebola Bundibugyo","secondary","polygon",0.81792,30.13119,3,196,NA,NA,NA,NA,2007,NA,NA,NA,63,18,"17",1,8,2007,NA,12,2007,116,39
198,"Bundibungyo town council subcountry","Uganda","Ebola Bundibugyo","secondary","polygon",0.70926,30.06739,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,25,8,"17",1,8,2007,NA,12,2007,116,39
199,"Bubukwanga subcountry (sp. Bukwanga in GE)","Uganda","Ebola Bundibugyo","secondary","polygon",0.78296,30.03965,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,17,7,"17",1,8,2007,NA,12,2007,116,39
200,"Busaru subcountry","Uganda","Ebola Bundibugyo","secondary","polygon",0.70829,30.01055,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,8,3,"17",1,8,2007,NA,12,2007,116,39
201,"Harugali subcountry","Uganda","Ebola Bundibugyo","import","polygon",0.57395,30.03318,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,1,1,"17",1,8,2007,NA,12,2007,116,39
202,"Karugutu subcountry","Uganda","Ebola Bundibugyo","import","polygon",0.88902,30.35598,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,1,1,"17",1,8,2007,NA,12,2007,116,39
203,"Bubandi subcountry","Uganda","Ebola Bundibugyo","import","polygon",0.65291,29.9823,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,1,1,"17",1,8,2007,NA,12,2007,116,39
204,"Luebo health zone (index)","Congo, the Democratic Republic of the","Ebola Zaire","index","polygon",-5.63674,21.37481,1,NA,NA,NA,27,11,2008,NA,NA,NA,NA,NA,"18",27,11,2008,1,1,2009,32,15
205,"Luebo health zone (secondary)","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-5.63674,21.37481,2,204,NA,NA,NA,12,2008,NA,NA,NA,NA,NA,"18",27,11,2008,1,1,2009,32,15
206,"Mweka health zone","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-4.51499,21.62685,3,205,NA,NA,NA,12,2008,NA,NA,NA,NA,NA,"18",27,11,2008,1,1,2009,32,15
208,"Isiro health zone (index)","Congo, the Democratic Republic of the","Ebola Bundibugyo","index","polygon",2.57874,27.27105,1,NA,NA,NA,16,8,2012,NA,NA,NA,NA,NA,"20",16,8,2012,11,10,2012,36,13
209,"Isiro health zone (secondary)","Congo, the Democratic Republic of the","Ebola Bundibugyo","secondary","polygon",2.57874,27.27105,2,208,NA,NA,NA,8,2012,NA,NA,NA,NA,NA,"20",16,8,2012,11,10,2012,36,13
210,"Viadana health zone","Congo, the Democratic Republic of the","Ebola Bundibugyo","secondary","polygon",2.92607,27.449,3,209,NA,NA,NA,8,2012,NA,NA,NA,NA,NA,"20",16,8,2012,11,10,2012,36,13
211,"Nyanswiga village, Nyamarunda, Buyanja  (Kibaale District) (index)","Uganda","Ebola Sudan","index","polygon",0.86599,30.92654,1,NA,NA,NA,11,6,2012,NA,NA,NA,NA,NA,"21",11,6,2012,15,8,2012,11,4
212,"Nyanswiga village (secondary)","Uganda","Ebola Sudan","secondary","polygon",0.86599,30.92654,2,211,NA,NA,NA,6,2012,NA,NA,NA,NA,NA,"21",11,6,2012,15,8,2012,11,4
213,"Kibaale district","Uganda","Ebola Sudan","secondary","polygon",0.95002,31.06358,3,212,NA,NA,NA,6,2012,NA,NA,NA,NA,NA,"21",11,6,2012,15,8,2012,11,4
214,"Luwero district (index)","Uganda","Ebola Sudan","index","polygon",0.83175,32.58253,1,NA,NA,NA,13,11,2012,NA,NA,NA,NA,NA,"22",13,11,2012,17,11,2012,6,3
215,"Luwero district (secondary)","Uganda","Ebola Sudan","secondary","polygon",0.83175,32.58253,2,214,NA,NA,NA,11,2012,NA,NA,NA,NA,NA,"22",13,11,2012,17,11,2012,6,3
216,"Jinja district","Uganda","Ebola Sudan","secondary","polygon",0.56842,33.21263,NA,NA,NA,NA,NA,11,2012,NA,NA,NA,NA,NA,"22",13,11,2012,17,11,2012,6,3
217,"Nakasongola district","Uganda","Ebola Sudan","secondary","polygon",1.35491,32.42471,NA,NA,NA,NA,NA,11,2012,NA,NA,NA,NA,NA,"22",13,11,2012,17,11,2012,6,3
