"year_id","sex","cause_name","val","lower","upper"
2013,"Female","Non-communicable diseases",17604559.2208,17303359.3607,17977741.5059
2014,"Female","Non-communicable diseases",17965904.8083,17646282.4343,18351841.6553
2015,"Female","Non-communicable diseases",18270124.4003,17918489.2465,18683914.4136
1990,"Male","Injuries",2940055.37772,2801381.71745,3054653.81404
1991,"Male","Injuries",3047648.90755,2889838.56116,3169827.86431
1992,"Male","Injuries",2980449.62849,2832546.14027,3082048.33845
1993,"Male","Injuries",3064720.88275,2908704.74618,3167255.51324
1994,"Male","Injuries",3488318.7205,3160238.0803,3903528.36432
1995,"Male","Injuries",3146955.66911,2992649.79575,3248534.81433
1996,"Male","Injuries",3161127.96505,3010753.26771,3258778.91309
1997,"Male","Injuries",3146448.60017,2992042.78814,3241092.11427
1998,"Male","Injuries",3171108.70181,3021373.76363,3260566.64486
1999,"Male","Injuries",3224621.90757,3083988.55571,3318187.59953
2000,"Male","Injuries",3210102.98188,3073447.74129,3299739.07242
2001,"Male","Injuries",3192148.38707,3063538.91958,3300777.81176
2002,"Male","Injuries",3214167.87387,3089587.77682,3294966.41114
2003,"Male","Injuries",3244909.41762,3108690.25204,3329187.16892
2004,"Male","Injuries",3373724.99775,3193952.42997,3515947.93111
2005,"Male","Injuries",3294888.49374,3120843.88165,3380923.40436
2006,"Male","Injuries",3238691.39744,3064435.13395,3322998.76974
2007,"Male","Injuries",3228870.02382,3052548.94248,3315344.32495
2008,"Male","Injuries",3362034.5742,3172091.53369,3491317.4221
2009,"Male","Injuries",3206631.48588,3016550.22467,3290055.96566
2010,"Male","Injuries",3344499.29168,3135924.16929,3500816.69107
2011,"Male","Injuries",3225808.28939,3030794.98767,3324568.46165
2012,"Male","Injuries",3218754.02461,3025702.5765,3321979.17794
2013,"Male","Injuries",3230027.05067,3031347.95729,3335099.68341
2014,"Male","Injuries",3266526.13583,3071090.14094,3383153.5792
2015,"Male","Injuries",3325789.43468,3109875.22181,3457825.74949
1990,"Female","Injuries",1487577.71961,1295129.46672,1600455.65086
1991,"Female","Injuries",1533650.25459,1331593.93204,1646784.13414
1992,"Female","Injuries",1482342.14577,1281314.78357,1590733.77004
1993,"Female","Injuries",1500291.66293,1300245.64919,1605350.93058
1994,"Female","Injuries",1638522.61569,1402901.82587,1819863.09234
1995,"Female","Injuries",1513629.17841,1307493.42882,1611777.75694
1996,"Female","Injuries",1511809.99119,1311890.35389,1605840.70157
1997,"Female","Injuries",1501772.57856,1303293.32416,1593296.37832
1998,"Female","Injuries",1500733.73987,1308207.73647,1589791.84401
1999,"Female","Injuries",1508774.57952,1322037.55475,1599688.28678
2000,"Female","Injuries",1479585.62997,1306675.71483,1564290.89737
2001,"Female","Injuries",1465200.92657,1299281.81047,1547570.20509
2002,"Female","Injuries",1458175.78954,1299673.63144,1535747.15347
2003,"Female","Injuries",1465570.87143,1308315.06242,1539757.83365
2004,"Female","Injuries",1529605.47962,1352277.38876,1625494.79661
2005,"Female","Injuries",1464111.29959,1309878.00268,1533890.77552
2006,"Female","Injuries",1423700.57553,1271482.41629,1486743.5237
2007,"Female","Injuries",1406417.21505,1252965.02768,1466972.70304
2008,"Female","Injuries",1478432.52891,1315125.61221,1561393.79158
2009,"Female","Injuries",1385218.46765,1235671.90879,1440442.69239
2010,"Female","Injuries",1470344.64563,1303470.25329,1574285.77208
2011,"Female","Injuries",1382312.00666,1226049.83037,1439969.05588
2012,"Female","Injuries",1370194.31151,1215579.4539,1433664.33134
2013,"Female","Injuries",1375949.52138,1222563.63675,1446057.4212
2014,"Female","Injuries",1382968.17705,1223972.16601,1459034.64109
2015,"Female","Injuries",1399264.83299,1246352.11751,1484818.27493
